date,base,currency,rate
2024-01-23,EUR,KRW,1454.29
2024-01-23,EUR,MXN,18.7548
2024-01-23,EUR,MYR,5.1392
2024-01-23,EUR,NOK,11.4298
2024-01-23,EUR,NZD,1.7839
2024-01-23,EUR,PHP,61.101
2024-01-23,EUR,PLN,4.383
2024-01-23,EUR,RON,4.9769
2024-01-23,EUR,SEK,11.347
2024-01-23,EUR,SGD,1.4568
2024-01-23,EUR,THB,38.827
2024-01-23,EUR,TRY,32.92
2024-01-23,EUR,USD,1.0872
2024-01-23,EUR,ZAR,20.702
2024-01-24,EUR,AUD,1.652
2024-01-24,EUR,BGN,1.9558
2024-01-24,EUR,BRL,5.3587
2024-01-24,EUR,CAD,1.4669
2024-01-24,EUR,CHF,0.9415
2024-01-24,EUR,CNY,7.7996
2024-01-24,EUR,CZK,24.786
2024-01-24,EUR,DKK,7.4568
2024-01-24,EUR,GBP,0.85543
2024-01-24,EUR,HKD,8.5265
2024-01-24,EUR,HUF,385.43
2024-01-24,EUR,IDR,17107.0
2024-01-24,EUR,ILS,4.0495
2024-01-24,EUR,INR,90.63
2024-01-24,EUR,ISK,147.9
2024-01-24,EUR,JPY,160.46
2024-01-24,EUR,KRW,1453.17
2024-01-24,EUR,MXN,18.7537
2024-01-24,EUR,MYR,5.1597
2024-01-24,EUR,NOK,11.4155
2024-01-24,EUR,NZD,1.7785
2024-01-24,EUR,PHP,61.362
2024-01-24,EUR,PLN,4.3725
2024-01-24,EUR,RON,4.9773
2024-01-24,EUR,SEK,11.3585
2024-01-24,EUR,SGD,1.4585
2024-01-24,EUR,THB,38.805
2024-01-24,EUR,TRY,32.897
2024-01-24,EUR,USD,1.0905
2024-01-24,EUR,ZAR,20.537
2024-01-25,EUR,AUD,1.6537
2024-01-25,EUR,BGN,1.9558
2024-01-25,EUR,BRL,5.3664
2024-01-25,EUR,CAD,1.4714
2024-01-25,EUR,CHF,0.942
2024-01-25,EUR,CNY,7.8093
2024-01-25,EUR,CZK,24.756
2024-01-25,EUR,DKK,7.456
2024-01-25,EUR,GBP,0.85538
2024-01-25,EUR,HKD,8.5136
2024-01-25,EUR,HUF,385.18
2024-01-25,EUR,IDR,17267.0
2024-01-25,EUR,ILS,4.0319
2024-01-25,EUR,INR,90.55
2024-01-25,EUR,ISK,148.1
2024-01-25,EUR,JPY,160.81
2024-01-25,EUR,KRW,1456.25
2024-01-25,EUR,MXN,18.7648
2024-01-25,EUR,MYR,5.154
2024-01-25,EUR,NOK,11.3905
2024-01-25,EUR,NZD,1.7805
2024-01-25,EUR,PHP,61.556
2024-01-25,EUR,PLN,4.3765
2024-01-25,EUR,RON,4.9768
2024-01-25,EUR,SEK,11.35
2024-01-25,EUR,SGD,1.4591
2024-01-25,EUR,THB,38.926
2024-01-25,EUR,TRY,32.989
2024-01-25,EUR,USD,1.0893
2024-01-25,EUR,ZAR,20.581
2024-01-26,EUR,AUD,1.6483
2024-01-26,EUR,BGN,1.9558
2024-01-26,EUR,BRL,5.3366
2024-01-26,EUR,CAD,1.4607
2024-01-26,EUR,CHF,0.9396
2024-01-26,EUR,CNY,7.7994
2024-01-26,EUR,CZK,24.748
2024-01-26,EUR,DKK,7.4549
2024-01-26,EUR,GBP,0.85368
2024-01-26,EUR,HKD,8.4933
2024-01-26,EUR,HUF,386.95
2024-01-26,EUR,IDR,17132.0
2024-01-26,EUR,ILS,4.0057
2024-01-26,EUR,INR,90.37
2024-01-26,EUR,ISK,148.3
2024-01-26,EUR,JPY,160.62
2024-01-26,EUR,KRW,1451.08
2024-01-26,EUR,MXN,18.6582
2024-01-26,EUR,MYR,5.1393
2024-01-26,EUR,NOK,11.3325
2024-01-26,EUR,NZD,1.7801
2024-01-26,EUR,PHP,61.28
2024-01-26,EUR,PLN,4.3775
2024-01-26,EUR,RON,4.9765
2024-01-26,EUR,SEK,11.3203
2024-01-26,EUR,SGD,1.457
2024-01-26,EUR,THB,38.679
2024-01-26,EUR,TRY,32.944
2024-01-26,EUR,USD,1.0871
2024-01-26,EUR,ZAR,20.426
2024-01-29,EUR,AUD,1.6398
2024-01-29,EUR,BGN,1.9558
2024-01-29,EUR,BRL,5.3134
2024-01-29,EUR,CAD,1.4542
2024-01-29,EUR,CHF,0.9339
2024-01-29,EUR,CNY,7.7702
2024-01-29,EUR,CZK,24.806
2024-01-29,EUR,DKK,7.4538
2024-01-29,EUR,GBP,0.8525
2024-01-29,EUR,HKD,8.4549
2024-01-29,EUR,HUF,390.03
2024-01-29,EUR,IDR,17127.0
2024-01-29,EUR,ILS,3.9834
2024-01-29,EUR,INR,90.0
2024-01-29,EUR,ISK,148.5
2024-01-29,EUR,JPY,160.13
2024-01-29,EUR,KRW,1445.6
2024-01-29,EUR,MXN,18.5591
2024-01-29,EUR,MYR,5.1236
2024-01-29,EUR,NOK,11.305
2024-01-29,EUR,NZD,1.7696
